CASEID,v161444,v161446,v161447,v161448,v161450,v161452,v161458
300001,-1,-1,-1,-1,-1,-1,-1
300002, 0, 0, 0, 0, 0, 0, 0
300003,-1,-1,-1,-1,-1,-1,-1
300004,-1,-1,-1,-1,-1,-1,-1
300006,-1,-1,-1,-1,-1,-1,-1
300007, 0, 1, 0, 0, 0, 1, 1
300008,-1,-1,-1,-1,-1,-1,-1
300012, 1, 0, 1, 0, 1, 0, 0
300018, 1, 1, 1, 0, 0, 1, 0
300020, 0, 0, 1, 1, 0, 0, 1
300021, 0, 0, 0, 0, 0, 0, 0
300023,-1,-1,-1,-1,-1,-1,-1
300026, 0, 0, 1, 0, 1, 1, 1
300030, 0, 0, 0, 0, 0, 0, 0
300034, 0, 0, 1, 0, 0, 0, 0
300038,-1,-1,-1,-1,-1,-1,-1
300039, 0, 0, 1, 0, 0, 0, 0
300040, 0, 0, 0, 0, 0, 1, 1
300041, 0, 1, 1, 0, 1, 0, 0
300042, 0, 0, 0, 0, 0, 0, 1
300045, 0, 0, 0, 0, 0, 0, 0
300046, 0, 1, 0, 1, 0, 1, 1
300047,-1,-1,-1,-1,-1,-1,-1
300049, 0, 0, 1, 0, 0, 0, 1
300050,-1,-1,-1,-1,-1,-1,-1
300051,-1,-1,-1,-1,-1,-1,-1
300053, 0, 0, 0, 0, 0, 1, 0
300056, 0, 0, 0, 0, 0, 0, 0
300058, 0, 0, 1, 0, 0, 0, 0
300059,-1,-1,-1,-1,-1,-1,-1
300062,-1,-1,-1,-1,-1,-1,-1
300064,-1,-1,-1,-1,-1,-1,-1
300070,-1,-1,-1,-1,-1,-1,-1
300072,-1,-1,-1,-1,-1,-1,-1
300073,-1,-1,-1,-1,-1,-1,-1
300082, 1, 0, 1, 0, 0, 0, 0
300085, 0, 1, 1, 1, 0, 1, 1
300092, 1, 0, 0, 0, 0, 0, 0
300093,-1,-1,-1,-1,-1,-1,-1
300094, 0, 0, 1, 0, 1, 0, 0
300098,-1,-1,-1,-1,-1,-1,-1
300099, 0, 0, 0, 0, 0, 1, 0
300100, 0, 1, 0, 0, 0, 0, 0
300103, 1, 0, 0, 0, 0, 0, 0
300106, 1, 0, 1, 0, 1, 0, 0
300107, 0, 0, 1, 0, 0, 0, 0
300109, 0, 0, 0, 0, 0, 0, 0
300111, 0, 0, 0, 0, 0, 0, 0
300113, 0, 0, 0, 0, 0, 0, 0
300116,-1,-1,-1,-1,-1,-1,-1
300119,-1,-1,-1,-1,-1,-1,-1
300121, 0, 0, 0, 0, 0, 0, 0
300123, 1, 0, 0, 0, 0, 0, 0
300124, 0, 0, 0, 0, 0, 1, 0
